letter	frequency
None 	.0
ar 	.1043
bg 	.8
bn 	.2
bs 	.3
cy 	.4
da 	.6
de 	.39
el 	.13
en 	.3612
es 	.898
et 	.19
fa 	.3
fi 	.11
fr 	.149
hi 	.10
hr 	.1
ht 	.16
hu 	.2
in 	.489
it 	.58
iw 	.4
ja 	.2734
ko 	.236
lt 	.4
lv 	.5
ml 	.1
ne 	.2
nl 	.30
no 	.7
pl 	.13
pt 	.204
ro 	.1
ru 	.658
sk 	.11
sl 	.7
sr 	.1
sv 	.10
th 	.149
tl 	.107
tr 	.253
uk 	.19
und	.479
ur 	.2
vi 	.5
zh 	.7
